07:18:56.667 entity=blue_robot_1 role=hero team=blue branch=fallback_direct total=29.41ms nav=29.41ms aim=0.00ms block=
07:18:57.042 entity=blue_robot_1 role=hero team=blue branch=fallback_direct total=29.39ms nav=29.38ms aim=0.00ms block=
07:18:57.400 entity=blue_robot_1 role=hero team=blue branch=fallback_direct total=29.23ms nav=29.23ms aim=0.00ms block=
07:18:57.777 entity=blue_robot_1 role=hero team=blue branch=fallback_direct total=29.51ms nav=29.50ms aim=0.00ms block=
07:18:58.132 entity=blue_robot_3 role=infantry team=blue branch=fallback_direct total=29.31ms nav=29.31ms aim=0.00ms block=
07:18:58.485 entity=blue_robot_3 role=infantry team=blue branch=fallback_direct total=29.59ms nav=29.58ms aim=0.00ms block=
07:18:58.841 entity=blue_robot_1 role=hero team=blue branch=fallback_direct total=29.40ms nav=29.40ms aim=0.00ms block=
07:18:59.197 entity=blue_robot_1 role=hero team=blue branch=fallback_direct total=29.29ms nav=29.29ms aim=0.00ms block=
07:18:59.560 entity=blue_robot_3 role=infantry team=blue branch=fallback_direct total=29.27ms nav=29.26ms aim=0.00ms block=
07:18:59.913 entity=blue_robot_1 role=hero team=blue branch=fallback_direct total=29.38ms nav=29.37ms aim=0.00ms block=
07:19:00.274 entity=blue_robot_1 role=hero team=blue branch=fallback_direct total=29.47ms nav=29.46ms aim=0.00ms block=
07:19:00.657 entity=blue_robot_1 role=hero team=blue branch=fallback_direct total=29.26ms nav=29.26ms aim=0.00ms block=
07:19:01.018 entity=blue_robot_1 role=hero team=blue branch=fallback_direct total=29.45ms nav=29.44ms aim=0.00ms block=
07:19:01.403 entity=blue_robot_1 role=hero team=blue branch=fallback_direct total=29.30ms nav=29.30ms aim=0.00ms block=
07:19:01.760 entity=blue_robot_1 role=hero team=blue branch=fallback_direct total=29.65ms nav=29.65ms aim=0.00ms block=
07:19:02.152 entity=red_robot_1 role=hero team=red branch=reuse_drive total=35.67ms nav=0.00ms aim=35.66ms block=
07:19:02.510 entity=blue_robot_1 role=hero team=blue branch=fallback_direct total=29.32ms nav=29.31ms aim=0.00ms block=
07:19:02.867 entity=blue_robot_1 role=hero team=blue branch=fallback_direct total=29.43ms nav=29.42ms aim=0.00ms block=
07:19:03.247 entity=blue_robot_1 role=hero team=blue branch=fallback_direct total=29.44ms nav=29.43ms aim=0.00ms block=
07:19:03.606 entity=blue_robot_1 role=hero team=blue branch=fallback_direct total=29.53ms nav=29.53ms aim=0.00ms block=
