22:24:18.749 total=2.14ms reload=0.00ms input=0.01ms motion=1.60ms filter=0.00ms rules=0.52ms select=0.01ms entities=15 projectiles=1
22:24:20.774 total=1.90ms reload=0.00ms input=0.01ms motion=1.36ms filter=0.00ms rules=0.52ms select=0.00ms entities=15 projectiles=2
22:24:22.794 total=2.37ms reload=0.00ms input=0.01ms motion=1.45ms filter=0.00ms rules=0.90ms select=0.01ms entities=15 projectiles=6
22:24:24.796 total=2.33ms reload=0.00ms input=0.01ms motion=1.59ms filter=0.01ms rules=0.72ms select=0.01ms entities=15 projectiles=1
22:24:26.815 total=2.57ms reload=0.00ms input=0.01ms motion=1.92ms filter=0.01ms rules=0.62ms select=0.01ms entities=15 projectiles=1
22:24:28.829 total=1.80ms reload=0.00ms input=0.01ms motion=1.26ms filter=0.00ms rules=0.53ms select=0.00ms entities=15 projectiles=1
22:24:30.831 total=1.90ms reload=0.00ms input=0.01ms motion=1.34ms filter=0.00ms rules=0.54ms select=0.00ms entities=15 projectiles=1
22:24:32.836 total=1.66ms reload=0.00ms input=0.01ms motion=1.12ms filter=0.00ms rules=0.52ms select=0.00ms entities=15 projectiles=1
22:24:34.857 total=1.99ms reload=0.00ms input=0.01ms motion=1.21ms filter=0.00ms rules=0.76ms select=0.01ms entities=15 projectiles=3
22:24:36.859 total=1.86ms reload=0.00ms input=0.01ms motion=1.30ms filter=0.00ms rules=0.54ms select=0.00ms entities=15 projectiles=1
22:24:38.868 total=2.13ms reload=0.00ms input=0.01ms motion=1.28ms filter=0.00ms rules=0.83ms select=0.01ms entities=15 projectiles=2
22:24:40.885 total=2.14ms reload=0.00ms input=0.01ms motion=1.50ms filter=0.00ms rules=0.62ms select=0.01ms entities=15 projectiles=1
22:24:42.891 total=1.84ms reload=0.00ms input=0.01ms motion=1.23ms filter=0.00ms rules=0.60ms select=0.00ms entities=15 projectiles=3
22:24:44.908 total=1.90ms reload=0.00ms input=0.01ms motion=1.33ms filter=0.00ms rules=0.56ms select=0.01ms entities=15 projectiles=1
22:24:46.937 total=1.70ms reload=0.00ms input=0.01ms motion=1.11ms filter=0.00ms rules=0.57ms select=0.01ms entities=15 projectiles=1
22:24:48.938 total=1.76ms reload=0.00ms input=0.01ms motion=1.20ms filter=0.00ms rules=0.54ms select=0.00ms entities=15 projectiles=1
22:24:50.953 total=1.97ms reload=0.00ms input=0.01ms motion=1.37ms filter=0.00ms rules=0.59ms select=0.00ms entities=15 projectiles=1
22:24:52.962 total=1.68ms reload=0.00ms input=0.01ms motion=1.13ms filter=0.00ms rules=0.52ms select=0.00ms entities=15 projectiles=1
22:24:54.983 total=1.76ms reload=0.00ms input=0.01ms motion=1.10ms filter=0.00ms rules=0.64ms select=0.00ms entities=15 projectiles=1
22:24:56.993 total=2.10ms reload=0.00ms input=0.01ms motion=1.27ms filter=0.00ms rules=0.81ms select=0.00ms entities=15 projectiles=1
